set,try,generator,time
12,3,numpy,0.007545
12,4,numpy,0.005984
12,5,numpy,0.005984
12,6,numpy,0.006981
12,7,numpy,0.005985
12,8,numpy,0.006983
12,9,numpy,0.006980
13,0,random,0.002992
13,1,random,0.003989
13,2,random,0.002991
13,3,random,0.003990
13,4,random,0.003989
13,5,random,0.003990
13,6,random,0.003989
13,7,random,0.002992
13,8,random,0.004987
13,9,random,0.002992
13,0,numpy,0.006981
13,1,numpy,0.005984
13,2,numpy,0.006981
13,3,numpy,0.006981
13,4,numpy,0.005985
13,5,numpy,0.006980
13,6,numpy,0.005985
13,7,numpy,0.006981
13,8,numpy,0.005984
13,9,numpy,0.006988
14,0,random,0.004981
14,1,random,0.002992
14,2,random,0.003989
14,3,random,0.003990
14,4,random,0.004431
14,5,random,0.003988
14,6,random,0.002992
14,7,random,0.003990
14,8,random,0.003989
14,9,random,0.003989
14,0,numpy,0.006981
14,1,numpy,0.006981
14,2,numpy,0.005984
14,3,numpy,0.005985
14,4,numpy,0.006981
14,5,numpy,0.005983
14,6,numpy,0.005984
14,7,numpy,0.006981
14,8,numpy,0.006981
14,9,numpy,0.005985
15,0,random,0.003989
15,1,random,0.003989
15,2,random,0.004987
15,3,random,0.003989
15,4,random,0.003989
15,5,random,0.003989
15,6,random,0.003990
15,7,random,0.003990
15,8,random,0.002991
15,9,random,0.003989
15,0,numpy,0.006982
15,1,numpy,0.005984
15,2,numpy,0.007020
15,3,numpy,0.006970
15,4,numpy,0.005984
15,5,numpy,0.007979
15,6,numpy,0.005984
15,7,numpy,0.006982
15,8,numpy,0.005983
15,9,numpy,0.006981
16,0,random,0.003989
16,1,random,0.002992
16,2,random,0.003989
16,3,random,0.003989
16,4,random,0.004019
16,5,random,0.003960
16,6,random,0.003990
16,7,random,0.003989
16,8,random,0.002992
16,9,random,0.003989
16,0,numpy,0.006981
16,1,numpy,0.005984
16,2,numpy,0.006984
16,3,numpy,0.005981
16,4,numpy,0.006987
16,5,numpy,0.005979
16,6,numpy,0.006981
16,7,numpy,0.005985
16,8,numpy,0.006981
16,9,numpy,0.006982
17,0,random,0.002992
17,1,random,0.003989
17,2,random,0.002992
17,3,random,0.003990
17,4,random,0.003990
17,5,random,0.002992
17,6,random,0.003989
17,7,random,0.003829
17,8,random,0.003990
17,9,random,0.003992
17,0,numpy,0.006978
17,1,numpy,0.005985
17,2,numpy,0.018065
17,3,numpy,0.006981
17,4,numpy,0.006956
17,5,numpy,0.006973
17,6,numpy,0.005983
17,7,numpy,0.006030
17,8,numpy,0.006981
17,9,numpy,0.006981
18,0,random,0.002991
18,1,random,0.003945
18,2,random,0.003035
18,3,random,0.003990
18,4,random,0.003994
18,5,random,0.003986
18,6,random,0.003989
18,7,random,0.002995
18,8,random,0.004941
18,9,random,0.003037
18,0,numpy,0.006981
18,1,numpy,0.006937
18,2,numpy,0.007024
18,3,numpy,0.005985
18,4,numpy,0.006981
18,5,numpy,0.008945
18,6,numpy,0.006993
18,7,numpy,0.007002
