set,try,generator,time
8,9,os,0.007984
9,0,random,0.002994
9,1,random,0.002993
9,2,random,0.003997
9,3,random,0.003981
9,4,random,0.003987
9,5,random,0.004988
9,6,random,0.003990
9,7,random,0.002992
9,8,random,0.003990
9,9,random,0.002990
9,0,numpy,0.006984
9,1,numpy,0.005982
9,2,numpy,0.005985
9,3,numpy,0.006935
9,4,numpy,0.006981
9,5,numpy,0.005984
9,6,numpy,0.005984
9,7,numpy,0.006981
9,8,numpy,0.005984
9,9,numpy,0.005984
9,0,os,0.007979
9,1,os,0.007979
9,2,os,0.007978
9,3,os,0.007979
9,4,os,0.010971
9,5,os,0.007978
9,6,os,0.007979
9,7,os,0.007978
9,8,os,0.007979
9,9,os,0.007979
10,0,random,0.002992
10,1,random,0.003990
10,2,random,0.003989
10,3,random,0.002992
10,4,random,0.004025
10,5,random,0.003994
10,6,random,0.003951
10,7,random,0.004025
10,8,random,0.003978
10,9,random,0.004003
10,0,numpy,0.006984
10,1,numpy,0.007937
10,2,numpy,0.006982
10,3,numpy,0.005984
10,4,numpy,0.005984
10,5,numpy,0.005984
10,6,numpy,0.006981
10,7,numpy,0.005984
10,8,numpy,0.006982
10,9,numpy,0.006020
10,0,os,0.007943
10,1,os,0.007978
10,2,os,0.006982
10,3,os,0.007979
10,4,os,0.007979
10,5,os,0.007978
10,6,os,0.006981
10,7,os,0.008976
10,8,os,0.009981
10,9,os,0.007970
11,0,random,0.007985
11,1,random,0.003983
11,2,random,0.003989
11,3,random,0.002992
11,4,random,0.003989
11,5,random,0.003990
11,6,random,0.003990
11,7,random,0.004026
11,8,random,0.003987
11,9,random,0.003991
11,0,numpy,0.005983
11,1,numpy,0.006983
11,2,numpy,0.005948
11,3,numpy,0.006019
11,4,numpy,0.006947
11,5,numpy,0.007019
11,6,numpy,0.005982
11,7,numpy,0.005976
11,8,numpy,0.005992
11,9,numpy,0.005983
11,0,os,0.007979
11,1,os,0.006981
11,2,os,0.007982
11,3,os,0.007939
11,4,os,0.008976
11,5,os,0.007978
11,6,os,0.007979
11,7,os,0.006981
11,8,os,0.006981
11,9,os,0.007979
12,0,random,0.002991
12,1,random,0.002992
12,2,random,0.003989
12,3,random,0.012175
12,4,random,0.006979
12,5,random,0.003987
12,6,random,0.003990
12,7,random,0.003956
12,8,random,0.003989
12,9,random,0.002992
12,0,numpy,0.006981
12,1,numpy,0.005984
12,2,numpy,0.005984
12,3,numpy,0.006982
12,4,numpy,0.005984
12,5,numpy,0.007016
12,6,numpy,0.006984
12,7,numpy,0.005985
12,8,numpy,0.006987
12,9,numpy,0.006939
12,0,os,0.008019
12,1,os,0.007974
12,2,os,0.006981
12,3,os,0.007943
12,4,os,0.006981
12,5,os,0.008976
12,6,os,0.006981
12,7,os,0.007979
12,8,os,0.007979
12,9,os,0.007979
13,0,random,0.003989
13,1,random,0.002992
13,2,random,0.003989
13,3,random,0.003989
13,4,random,0.011158
13,5,random,0.004988
13,6,random,0.003986
13,7,random,0.003985
13,8,random,0.003996
13,9,random,0.002949
13,0,numpy,0.007027
13,1,numpy,0.005983
13,2,numpy,0.007981
13,3,numpy,0.006978
13,4,numpy,0.005982
13,5,numpy,0.006984
13,6,numpy,0.006980
13,7,numpy,0.006983
13,8,numpy,0.005984
13,9,numpy,0.006981
13,0,os,0.007979
13,1,os,0.007973
13,2,os,0.007983
13,3,os,0.010927
13,4,os,0.008024
13,5,os,0.007977
13,6,os,0.007980
13,7,os,0.007979
13,8,os,0.007978
13,9,os,0.007980
14,0,random,0.002990
14,1,random,0.003986
14,2,random,0.003991
14,3,random,0.003990
14,4,random,0.003997
14,5,random,0.003980
14,6,random,0.003990
14,7,random,0.002991
14,8,random,0.003991
14,9,random,0.011664
14,0,numpy,0.007043
14,1,numpy,0.005982
14,2,numpy,0.006953
14,3,numpy,0.005981
14,4,numpy,0.007388
14,5,numpy,0.006982
14,6,numpy,0.006981
14,7,numpy,0.005985
14,8,numpy,0.006981
14,9,numpy,0.005983
14,0,os,0.007979
14,1,os,0.007978
14,2,os,0.007979
14,3,os,0.008072
14,4,os,0.007982
14,5,os,0.006983
14,6,os,0.008976
14,7,os,0.008973
14,8,os,0.007979
14,9,os,0.007979
15,0,random,0.003945
15,1,random,0.004035
15,2,random,0.004984
15,3,random,0.003991
15,4,random,0.003991
15,5,random,0.003989
15,6,random,0.003988
15,7,random,0.003989
15,8,random,0.003990
15,9,random,0.003989
15,0,numpy,0.006979
15,1,numpy,0.005984
15,2,numpy,0.006940
15,3,numpy,0.010021
15,4,numpy,0.006979
15,5,numpy,0.005984
15,6,numpy,0.007199
15,7,numpy,0.006984
15,8,numpy,0.006973
15,9,numpy,0.006990
15,0,os,0.009938
15,1,os,0.010970
15,2,os,0.009974
15,3,os,0.010970
15,4,os,0.010971
15,5,os,0.012966
15,6,os,0.008441
15,7,os,0.007998
15,8,os,0.008956
15,9,os,0.007979
16,0,random,0.003989
16,1,random,0.003989
16,2,random,0.003990
16,3,random,0.003989
16,4,random,0.002991
16,5,random,0.004987
16,6,random,0.004987
16,7,random,0.004987
16,8,random,0.003989
16,9,random,0.003989
16,0,numpy,0.006982
16,1,numpy,0.006981
16,2,numpy,0.005985
16,3,numpy,0.006981
16,4,numpy,0.007004
16,5,numpy,0.006959
16,6,numpy,0.005984
16,7,numpy,0.005984
16,8,numpy,0.007979
16,9,numpy,0.005984
16,0,os,0.007979
16,1,os,0.007978
16,2,os,0.007982
16,3,os,0.007975
16,4,os,0.007979
16,5,os,0.007978
16,6,os,0.008977
16,7,os,0.006980
16,8,os,0.008976
16,9,os,0.006981
17,0,random,0.004001
17,1,random,0.003979
17,2,random,0.003988
17,3,random,0.002992
17,4,random,0.003989
17,5,random,0.003989
17,6,random,0.002993
17,7,random,0.003988
17,8,random,0.003989
17,9,random,0.002992
17,0,numpy,0.006982
17,1,numpy,0.005983
17,2,numpy,0.006985
17,3,numpy,0.005980
17,4,numpy,0.006981
17,5,numpy,0.005984
17,6,numpy,0.005984
17,7,numpy,0.006983
17,8,numpy,0.006980
17,9,numpy,0.008000
17,0,os,0.007015
17,1,os,0.006983
17,2,os,0.007975
17,3,os,0.007978
17,4,os,0.007980
17,5,os,0.006988
17,6,os,0.008979
17,7,os,0.007977
17,8,os,0.007971
17,9,os,0.007977
18,0,random,0.002998
18,1,random,0.003984
18,2,random,0.003992
18,3,random,0.003990
18,4,random,0.002996
18,5,random,0.003949
18,6,random,0.004025
18,7,random,0.002992
18,8,random,0.003992
18,9,random,0.003987
18,0,numpy,0.006982
18,1,numpy,0.005984
18,2,numpy,0.005984
18,3,numpy,0.006982
18,4,numpy,0.005988
18,5,numpy,0.006978
18,6,numpy,0.005984
18,7,numpy,0.006947
18,8,numpy,0.007017
18,9,numpy,0.005982
18,0,os,0.007979
18,1,os,0.006986
18,2,os,0.008972
18,3,os,0.018899
18,4,os,0.008984
18,5,os,0.007982
18,6,os,0.006978
18,7,os,0.007981
18,8,os,0.007978
18,9,os,0.007988
19,0,random,0.003980
19,1,random,0.003989
19,2,random,0.002996
19,3,random,0.003987
19,4,random,0.003993
19,5,random,0.002987
19,6,random,0.003988
19,7,random,0.003991
19,8,random,0.003991
19,9,random,0.003988
19,0,numpy,0.006975
19,1,numpy,0.006988
19,2,numpy,0.005987
19,3,numpy,0.007976
19,4,numpy,0.006982
19,5,numpy,0.005982
19,6,numpy,0.005979
19,7,numpy,0.006988
19,8,numpy,0.006985
19,9,numpy,0.006984
19,0,os,0.006930
19,1,os,0.010015
19,2,os,0.007985
19,3,os,0.007979
19,4,os,0.006947
19,5,os,0.009008
19,6,os,0.008975
19,7,os,0.007977
19,8,os,0.007934
19,9,os,0.008024
20,0,random,0.002997
20,1,random,0.003940
20,2,random,0.004035
20,3,random,0.004990
20,4,random,0.002989
20,5,random,0.004230
20,6,random,0.003978
20,7,random,0.003963
20,8,random,0.004013
20,9,random,0.003000
20,0,numpy,0.006983
20,1,numpy,0.005983
20,2,numpy,0.006949
20,3,numpy,0.006016
20,4,numpy,0.006982
20,5,numpy,0.005987
20,6,numpy,0.006981
20,7,numpy,0.005985
20,8,numpy,0.005984
20,9,numpy,0.006983
20,0,os,0.007983
20,1,os,0.007973
20,2,os,0.006981
20,3,os,0.007977
20,4,os,0.007945
20,5,os,0.008017
20,6,os,0.007981
20,7,os,0.007973
20,8,os,0.007985
20,9,os,0.007937
